,name,overall_score,position_score,height,weight,pref_foot,birthdate,age,pref_pos,work_rate,weak_foot,skill_moves,wage,joined_club,contract_expires,Ball Control,Dribbling,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,GK Positioning,GK Diving,GK Handling,GK Kicking,GK Reflexes,ball_skill_avg,mental_avg,passing_avg,physical_avg,shooting_avg,goalkeeper_avg
0,Erling Haaland,91,94,195.0,94.0,0,2813,24.0,656,2,3.0,3.0,340.0,1010,4,82,79,29,47,87,94,96,43,74,87,47,77,53,82,76,93,72,94,76,93,83,94,96,86,77,62,84,90,11,7,14,13,7,80.5,80.16666666666667,59.0,83.71428571428571,84.0,10.4
1,Kylian Mbappé,91,94,182.0,75.0,1,1246,25.0,681,1,4.0,5.0,225.0,1006,1,92,93,32,34,64,93,93,38,83,88,78,86,71,97,88,77,82,97,93,88,73,90,94,83,80,69,84,84,11,13,5,7,6,92.5,76.5,78.33333333333333,88.85714285714286,82.125,8.4
2,Kevin De Bruyne,91,91,181.0,75.0,1,3443,33.0,178,2,5.0,4.0,350.0,291,2,92,86,53,70,75,92,88,66,95,88,95,94,94,72,88,74,78,72,74,72,55,92,85,92,92,83,83,83,10,15,13,5,13,89.0,84.0,94.33333333333331,75.71428571428571,83.125,11.2
3,Harry Kane,90,90,188.0,89.0,1,2926,31.0,656,0,5.0,3.0,230.0,1165,1,87,82,38,46,80,93,94,42,87,92,80,87,88,67,83,84,73,71,66,87,89,93,95,87,82,65,92,89,14,8,10,11,11,84.5,81.33333333333333,85.0,75.85714285714286,86.5,10.8
4,Thibaut Courtois,90,90,199.0,96.0,0,4200,32.0,258,8,3.0,1.0,250.0,345,3,23,13,16,18,23,88,13,15,44,66,14,33,35,42,38,70,45,52,63,68,13,57,14,17,19,20,27,12,90,85,89,76,93,18.0,41.5,27.33333333333333,54.0,22.375,86.6
5,Robert Lewandowski,90,90,185.0,81.0,1,745,35.0,656,2,4.0,4.0,340.0,1087,3,90,86,19,42,81,93,94,49,81,88,76,84,70,76,76,89,83,75,77,92,91,91,93,84,79,85,90,89,8,15,6,12,10,88.0,81.0,76.66666666666667,81.14285714285714,87.75,10.2
6,Karim Benzema,90,90,185.0,81.0,1,1200,36.0,171,8,4.0,4.0,95.0,1011,3,91,87,18,24,63,92,92,39,90,90,75,89,76,78,82,82,72,79,77,85,90,87,91,81,82,73,85,88,5,13,11,5,7,89.0,77.66666666666667,80.0,79.28571428571429,84.625,8.2
7,Lionel Messi,90,90,169.0,67.0,0,3370,37.0,140,4,4.0,4.0,23.0,1070,2,93,96,24,35,44,88,91,40,92,96,83,91,90,87,70,68,95,74,91,71,60,83,89,90,93,93,75,86,14,6,11,15,8,94.5,75.16666666666667,88.0,79.42857142857143,83.625,10.8
8,Rúben Dias,89,90,187.0,82.0,1,4254,27.0,61,6,4.0,2.0,250.0,2060,4,75,64,87,91,93,89,39,86,51,81,54,83,76,54,78,90,56,69,60,84,87,74,29,26,46,48,45,32,7,7,8,13,12,69.5,73.16666666666667,71.0,70.14285714285714,48.375,9.4
9,Vini Jr.,89,94,176.0,73.0,1,2654,24.0,368,0,4.0,5.0,310.0,1031,2,90,92,18,25,58,86,87,26,81,79,78,80,77,95,84,64,84,95,94,74,50,76,89,80,77,62,65,72,7,5,7,7,10,91.0,69.5,78.33333333333333,84.28571428571429,71.375,7.2
